"","unlist.htweet."
"tweet_ 24167",252
"tweet_ 24168",157
"tweet_ 24169",110
"tweet_ 24170",242
"tweet_ 24171",169
"tweet_ 24172",13
"tweet_ 24173",23
"tweet_ 24174",253
"tweet_ 24175",47
"tweet_ 24176",91
"tweet_ 24177",23
"tweet_ 24178",188
"tweet_ 24179",266
"tweet_ 24180",2
"tweet_ 24181",172
"tweet_ 24182",35
"tweet_ 24183",216
"tweet_ 24184",138
"tweet_ 24185",65
"tweet_ 24186",224
"tweet_ 24187",6
"tweet_ 24188",247
"tweet_ 24189",154
"tweet_ 24190",40
"tweet_ 24191",116
"tweet_ 24192",70
"tweet_ 24193",125
"tweet_ 24194",138
"tweet_ 24195",45
"tweet_ 24196",146
"tweet_ 24197",125
"tweet_ 24198",23
"tweet_ 24199",27
"tweet_ 24200",110
"tweet_ 24201",57
"tweet_ 24202",110
"tweet_ 24203",158
"tweet_ 24204",223
"tweet_ 24205",71
"tweet_ 24206",116
"tweet_ 24207",197
"tweet_ 24208",201
"tweet_ 24209",259
"tweet_ 24210",39
"tweet_ 24211",250
"tweet_ 24212",203
"tweet_ 24213",80
"tweet_ 24214",27
"tweet_ 24215",85
"tweet_ 24216",98
"tweet_ 24217",154
"tweet_ 24218",220
"tweet_ 24219",243
"tweet_ 24220",170
"tweet_ 24221",162
"tweet_ 24222",236
"tweet_ 24223",236
"tweet_ 24224",71
"tweet_ 24225",163
"tweet_ 24226",212
"tweet_ 24227",197
"tweet_ 24228",171
"tweet_ 24229",167
"tweet_ 24230",88
"tweet_ 24231",201
"tweet_ 24232",237
"tweet_ 24233",207
"tweet_ 24234",76
"tweet_ 24235",188
"tweet_ 24236",79
"tweet_ 24237",132
"tweet_ 24238",232
"tweet_ 24239",90
"tweet_ 24240",39
"tweet_ 24241",45
"tweet_ 24242",250
"tweet_ 24243",264
"tweet_ 24244",196
"tweet_ 24245",265
"tweet_ 24246",232
"tweet_ 24247",59
"tweet_ 24248",258
"tweet_ 24249",242
"tweet_ 24250",165
"tweet_ 24251",262
"tweet_ 24252",102
"tweet_ 24253",238
"tweet_ 24254",200
"tweet_ 24255",113
"tweet_ 24256",264
"tweet_ 24257",47
"tweet_ 24258",186
"tweet_ 24259",84
"tweet_ 24260",60
"tweet_ 24261",113
"tweet_ 24262",133
"tweet_ 24263",19
"tweet_ 24264",244
"tweet_ 24265",9
"tweet_ 24266",133
"tweet_ 24267",85
"tweet_ 24268",94
"tweet_ 24269",169
"tweet_ 24270",77
"tweet_ 24271",189
"tweet_ 24272",57
"tweet_ 24273",233
"tweet_ 24274",176
"tweet_ 24275",176
"tweet_ 24276",162
"tweet_ 24277",130
"tweet_ 24278",30
"tweet_ 24279",237
"tweet_ 24280",58
"tweet_ 24281",192
"tweet_ 24282",44
"tweet_ 24283",243
"tweet_ 24284",250
"tweet_ 24285",245
"tweet_ 24286",149
"tweet_ 24287",186
"tweet_ 24288",158
"tweet_ 24289",109
"tweet_ 24290",112
"tweet_ 24291",49
"tweet_ 24292",133
"tweet_ 24293",95
"tweet_ 24294",53
"tweet_ 24295",192
"tweet_ 24296",230
"tweet_ 24297",27
"tweet_ 24298",78
"tweet_ 24299",266
"tweet_ 24300",257
"tweet_ 24301",14
"tweet_ 24302",165
"tweet_ 24303",147
"tweet_ 24304",113
"tweet_ 24305",95
"tweet_ 24306",181
"tweet_ 24307",136
"tweet_ 24308",193
"tweet_ 24309",247
"tweet_ 24310",71
"tweet_ 24311",3
"tweet_ 24312",47
"tweet_ 24313",223
"tweet_ 24314",204
"tweet_ 24315",66
"tweet_ 24316",45
"tweet_ 24317",47
"tweet_ 24318",236
"tweet_ 24319",236
"tweet_ 24320",22
"tweet_ 24321",172
"tweet_ 24322",116
"tweet_ 24323",119
"tweet_ 24324",252
"tweet_ 24325",237
"tweet_ 24326",147
"tweet_ 24327",182
"tweet_ 24328",110
"tweet_ 24329",246
"tweet_ 24330",157
"tweet_ 24331",45
"tweet_ 24332",58
"tweet_ 24333",28
"tweet_ 24334",85
"tweet_ 24335",205
"tweet_ 24336",140
"tweet_ 24337",36
"tweet_ 24338",154
"tweet_ 24339",37
"tweet_ 24340",176
"tweet_ 24341",57
"tweet_ 24342",176
"tweet_ 24343",138
"tweet_ 24344",249
"tweet_ 24345",90
"tweet_ 24346",212
"tweet_ 24347",102
"tweet_ 24348",80
"tweet_ 24349",153
"tweet_ 24350",186
"tweet_ 24351",207
"tweet_ 24352",90
"tweet_ 24353",58
"tweet_ 24354",31
"tweet_ 24355",101
"tweet_ 24356",165
"tweet_ 24357",92
"tweet_ 24358",113
"tweet_ 24359",119
"tweet_ 24360",249
"tweet_ 24361",157
"tweet_ 24362",200
"tweet_ 24363",133
"tweet_ 24364",176
"tweet_ 24365",90
"tweet_ 24366",45
"tweet_ 24367",140
"tweet_ 24368",144
"tweet_ 24369",20
"tweet_ 24370",65
"tweet_ 24371",26
"tweet_ 24372",160
"tweet_ 24373",34
"tweet_ 24374",87
"tweet_ 24375",67
"tweet_ 24376",76
"tweet_ 24377",133
"tweet_ 24378",232
"tweet_ 24379",192
"tweet_ 24380",171
"tweet_ 24381",236
"tweet_ 24382",95
"tweet_ 24383",118
"tweet_ 24384",247
"tweet_ 24385",146
"tweet_ 24386",234
"tweet_ 24387",182
"tweet_ 24388",152
"tweet_ 24389",172
"tweet_ 24390",255
"tweet_ 24391",9
"tweet_ 24392",224
"tweet_ 24393",182
"tweet_ 24394",176
"tweet_ 24395",194
"tweet_ 24396",248
"tweet_ 24397",81
"tweet_ 24398",20
"tweet_ 24399",113
"tweet_ 24400",126
"tweet_ 24401",113
"tweet_ 24402",12
"tweet_ 24403",236
"tweet_ 24404",5
"tweet_ 24405",194
"tweet_ 24406",54
"tweet_ 24407",212
"tweet_ 24408",183
"tweet_ 24409",136
"tweet_ 24410",16
"tweet_ 24411",224
"tweet_ 24412",90
"tweet_ 24413",133
"tweet_ 24414",214
"tweet_ 24415",9
"tweet_ 24416",18
"tweet_ 24417",103
"tweet_ 24418",146
"tweet_ 24419",180
"tweet_ 24420",83
"tweet_ 24421",149
"tweet_ 24422",14
"tweet_ 24423",148
"tweet_ 24424",257
"tweet_ 24425",188
"tweet_ 24426",160
"tweet_ 24427",45
"tweet_ 24428",241
"tweet_ 24429",106
"tweet_ 24430",175
"tweet_ 24431",133
"tweet_ 24432",164
"tweet_ 24433",145
"tweet_ 24434",243
"tweet_ 24435",45
"tweet_ 24436",57
"tweet_ 24437",224
"tweet_ 24438",178
"tweet_ 24439",80
"tweet_ 24440",170
"tweet_ 24441",177
"tweet_ 24442",187
"tweet_ 24443",139
"tweet_ 24444",130
"tweet_ 24445",25
"tweet_ 24446",88
"tweet_ 24447",100
"tweet_ 24448",27
"tweet_ 24449",84
"tweet_ 24450",106
"tweet_ 24451",244
"tweet_ 24452",130
"tweet_ 24453",52
"tweet_ 24454",28
"tweet_ 24455",4
"tweet_ 24456",227
"tweet_ 24457",184
"tweet_ 24458",44
"tweet_ 24459",220
"tweet_ 24460",133
"tweet_ 24461",38
"tweet_ 24462",67
"tweet_ 24463",36
"tweet_ 24464",56
"tweet_ 24465",130
"tweet_ 24466",70
"tweet_ 24467",24
"tweet_ 24468",205
"tweet_ 24469",153
"tweet_ 24470",175
"tweet_ 24471",133
"tweet_ 24472",215
"tweet_ 24473",253
"tweet_ 24474",75
"tweet_ 24475",110
"tweet_ 24476",184
"tweet_ 24477",205
"tweet_ 24478",5
"tweet_ 24479",138
"tweet_ 24480",27
"tweet_ 24481",50
"tweet_ 24482",98
"tweet_ 24483",243
"tweet_ 24484",215
"tweet_ 24485",130
"tweet_ 24486",162
"tweet_ 24487",236
"tweet_ 24488",12
"tweet_ 24489",45
"tweet_ 24490",125
"tweet_ 24491",118
"tweet_ 24492",56
"tweet_ 24493",158
"tweet_ 24494",165
"tweet_ 24495",188
"tweet_ 24496",89
"tweet_ 24497",65
"tweet_ 24498",179
"tweet_ 24499",57
"tweet_ 24500",233
"tweet_ 24501",28
"tweet_ 24502",154
"tweet_ 24503",106
"tweet_ 24504",157
"tweet_ 24505",154
"tweet_ 24506",226
"tweet_ 24507",215
"tweet_ 24508",118
"tweet_ 24509",95
"tweet_ 24510",19
"tweet_ 24511",186
"tweet_ 24512",198
"tweet_ 24513",204
"tweet_ 24514",200
"tweet_ 24515",165
"tweet_ 24516",38
"tweet_ 24517",45
"tweet_ 24518",153
"tweet_ 24519",90
"tweet_ 24520",227
"tweet_ 24521",252
"tweet_ 24522",87
"tweet_ 24523",201
"tweet_ 24524",153
"tweet_ 24525",176
"tweet_ 24526",176
"tweet_ 24527",167
"tweet_ 24528",233
"tweet_ 24529",31
"tweet_ 24530",221
"tweet_ 24531",203
"tweet_ 24532",102
"tweet_ 24533",91
"tweet_ 24534",98
"tweet_ 24535",249
"tweet_ 24536",97
"tweet_ 24537",125
"tweet_ 24538",192
"tweet_ 24539",232
"tweet_ 24540",241
"tweet_ 24541",227
"tweet_ 24542",77
"tweet_ 24543",212
"tweet_ 24544",183
"tweet_ 24545",148
"tweet_ 24546",196
"tweet_ 24547",242
"tweet_ 24548",186
"tweet_ 24549",97
"tweet_ 24550",9
"tweet_ 24551",176
"tweet_ 24552",175
"tweet_ 24553",260
"tweet_ 24554",165
"tweet_ 24555",224
"tweet_ 24556",181
"tweet_ 24557",244
"tweet_ 24558",140
"tweet_ 24559",89
"tweet_ 24560",201
"tweet_ 24561",130
"tweet_ 24562",28
"tweet_ 24563",263
"tweet_ 24564",152
"tweet_ 24565",209
"tweet_ 24566",47
"tweet_ 24567",158
"tweet_ 24568",209
"tweet_ 24569",119
"tweet_ 24570",249
"tweet_ 24571",224
"tweet_ 24572",145
"tweet_ 24573",130
"tweet_ 24574",14
"tweet_ 24575",34
"tweet_ 24576",265
"tweet_ 24577",181
"tweet_ 24578",170
"tweet_ 24579",102
"tweet_ 24580",70
"tweet_ 24581",58
"tweet_ 24582",45
"tweet_ 24583",116
"tweet_ 24584",90
"tweet_ 24585",113
"tweet_ 24586",57
"tweet_ 24587",245
"tweet_ 24588",39
"tweet_ 24589",207
"tweet_ 24590",113
"tweet_ 24591",236
"tweet_ 24592",130
"tweet_ 24593",215
"tweet_ 24594",265
"tweet_ 24595",237
"tweet_ 24596",232
"tweet_ 24597",257
"tweet_ 24598",24
"tweet_ 24599",164
"tweet_ 24600",149
"tweet_ 24601",123
"tweet_ 24602",157
"tweet_ 24603",161
"tweet_ 24604",205
"tweet_ 24605",233
"tweet_ 24606",154
"tweet_ 24607",212
"tweet_ 24608",29
"tweet_ 24609",184
"tweet_ 24610",247
"tweet_ 24611",109
"tweet_ 24612",48
"tweet_ 24613",215
"tweet_ 24614",253
"tweet_ 24615",44
"tweet_ 24616",38
"tweet_ 24617",231
"tweet_ 24618",119
"tweet_ 24619",45
"tweet_ 24620",266
"tweet_ 24621",125
"tweet_ 24622",36
"tweet_ 24623",28
"tweet_ 24624",163
"tweet_ 24625",31
"tweet_ 24626",195
"tweet_ 24627",237
"tweet_ 24628",267
"tweet_ 24629",210
"tweet_ 24630",222
"tweet_ 24631",148
"tweet_ 24632",244
"tweet_ 24633",30
"tweet_ 24634",176
"tweet_ 24635",210
"tweet_ 24636",189
"tweet_ 24637",59
"tweet_ 24638",36
"tweet_ 24639",231
"tweet_ 24640",148
"tweet_ 24641",250
"tweet_ 24642",242
"tweet_ 24643",242
"tweet_ 24644",168
"tweet_ 24645",212
"tweet_ 24646",133
"tweet_ 24647",59
"tweet_ 24648",152
"tweet_ 24649",210
"tweet_ 24650",152
"tweet_ 24651",250
"tweet_ 24652",222
"tweet_ 24653",130
"tweet_ 24654",61
"tweet_ 24655",165
"tweet_ 24656",208
"tweet_ 24657",60
"tweet_ 24658",103
"tweet_ 24659",53
"tweet_ 24660",154
"tweet_ 24661",90
"tweet_ 24662",9
"tweet_ 24663",224
"tweet_ 24664",232
"tweet_ 24665",177
"tweet_ 24666",224
"tweet_ 24667",176
"tweet_ 24668",111
"tweet_ 24669",123
"tweet_ 24670",215
"tweet_ 24671",95
"tweet_ 24672",75
"tweet_ 24673",47
"tweet_ 24674",106
"tweet_ 24675",13
"tweet_ 24676",201
"tweet_ 24677",33
"tweet_ 24678",244
"tweet_ 24679",153
"tweet_ 24680",101
"tweet_ 24681",186
"tweet_ 24682",51
"tweet_ 24683",205
"tweet_ 24684",118
"tweet_ 24685",7
"tweet_ 24686",230
"tweet_ 24687",198
"tweet_ 24688",147
"tweet_ 24689",164
"tweet_ 24690",174
"tweet_ 24691",40
"tweet_ 24692",242
"tweet_ 24693",242
"tweet_ 24694",53
"tweet_ 24695",45
"tweet_ 24696",257
"tweet_ 24697",78
"tweet_ 24698",215
"tweet_ 24699",36
"tweet_ 24700",65
"tweet_ 24701",80
"tweet_ 24702",149
"tweet_ 24703",58
"tweet_ 24704",236
"tweet_ 24705",65
"tweet_ 24706",123
"tweet_ 24707",186
"tweet_ 24708",245
"tweet_ 24709",232
"tweet_ 24710",130
"tweet_ 24711",7
"tweet_ 24712",116
"tweet_ 24713",49
"tweet_ 24714",188
"tweet_ 24715",119
"tweet_ 24716",224
"tweet_ 24717",20
"tweet_ 24718",36
"tweet_ 24719",58
"tweet_ 24720",36
"tweet_ 24721",116
"tweet_ 24722",71
"tweet_ 24723",224
"tweet_ 24724",242
"tweet_ 24725",9
"tweet_ 24726",14
"tweet_ 24727",24
"tweet_ 24728",130
"tweet_ 24729",71
"tweet_ 24730",48
"tweet_ 24731",57
"tweet_ 24732",41
"tweet_ 24733",188
"tweet_ 24734",73
"tweet_ 24735",245
"tweet_ 24736",200
"tweet_ 24737",242
"tweet_ 24738",165
"tweet_ 24739",196
"tweet_ 24740",186
"tweet_ 24741",201
"tweet_ 24742",97
"tweet_ 24743",237
"tweet_ 24744",243
"tweet_ 24745",27
"tweet_ 24746",11
"tweet_ 24747",172
"tweet_ 24748",113
"tweet_ 24749",163
"tweet_ 24750",197
"tweet_ 24751",65
"tweet_ 24752",49
"tweet_ 24753",59
"tweet_ 24754",252
"tweet_ 24755",203
"tweet_ 24756",113
"tweet_ 24757",58
"tweet_ 24758",96
"tweet_ 24759",34
"tweet_ 24760",197
"tweet_ 24761",262
"tweet_ 24762",71
"tweet_ 24763",113
"tweet_ 24764",113
"tweet_ 24765",231
"tweet_ 24766",57
"tweet_ 24767",207
"tweet_ 24768",126
"tweet_ 24769",236
"tweet_ 24770",89
"tweet_ 24771",208
"tweet_ 24772",152
"tweet_ 24773",227
"tweet_ 24774",157
"tweet_ 24775",72
"tweet_ 24776",118
"tweet_ 24777",161
"tweet_ 24778",101
"tweet_ 24779",20
"tweet_ 24780",230
"tweet_ 24781",187
"tweet_ 24782",165
"tweet_ 24783",130
"tweet_ 24784",89
"tweet_ 24785",33
"tweet_ 24786",187
"tweet_ 24787",220
"tweet_ 24788",13
"tweet_ 24789",160
"tweet_ 24790",192
"tweet_ 24791",140
"tweet_ 24792",75
"tweet_ 24793",85
"tweet_ 24794",15
"tweet_ 24795",170
"tweet_ 24796",145
"tweet_ 24797",222
"tweet_ 24798",70
"tweet_ 24799",160
"tweet_ 24800",126
"tweet_ 24801",13
"tweet_ 24802",174
"tweet_ 24803",133
"tweet_ 24804",152
"tweet_ 24805",64
"tweet_ 24806",215
"tweet_ 24807",205
"tweet_ 24808",81
"tweet_ 24809",182
"tweet_ 24810",223
"tweet_ 24811",230
"tweet_ 24812",179
"tweet_ 24813",158
"tweet_ 24814",264
"tweet_ 24815",139
"tweet_ 24816",257
"tweet_ 24817",71
"tweet_ 24818",65
"tweet_ 24819",151
"tweet_ 24820",27
"tweet_ 24821",101
"tweet_ 24822",122
"tweet_ 24823",51
"tweet_ 24824",236
"tweet_ 24825",144
"tweet_ 24826",71
"tweet_ 24827",244
"tweet_ 24828",171
"tweet_ 24829",203
"tweet_ 24830",208
"tweet_ 24831",196
"tweet_ 24832",19
"tweet_ 24833",220
"tweet_ 24834",44
"tweet_ 24835",81
"tweet_ 24836",130
"tweet_ 24837",154
"tweet_ 24838",176
"tweet_ 24839",63
"tweet_ 24840",27
"tweet_ 24841",148
"tweet_ 24842",178
"tweet_ 24843",12
"tweet_ 24844",14
"tweet_ 24845",71
"tweet_ 24846",113
"tweet_ 24847",19
"tweet_ 24848",176
"tweet_ 24849",13
"tweet_ 24850",192
"tweet_ 24851",106
"tweet_ 24852",172
"tweet_ 24853",17
"tweet_ 24854",225
"tweet_ 24855",266
"tweet_ 24856",35
"tweet_ 24857",26
"tweet_ 24858",176
"tweet_ 24859",34
"tweet_ 24860",230
"tweet_ 24861",172
"tweet_ 24862",205
"tweet_ 24863",231
"tweet_ 24864",234
"tweet_ 24865",178
"tweet_ 24866",214
"tweet_ 24867",140
"tweet_ 24868",10
"tweet_ 24869",178
"tweet_ 24870",232
"tweet_ 24871",236
"tweet_ 24872",76
"tweet_ 24873",77
"tweet_ 24874",83
"tweet_ 24875",84
"tweet_ 24876",253
"tweet_ 24877",109
"tweet_ 24878",45
"tweet_ 24879",36
"tweet_ 24880",231
"tweet_ 24881",195
"tweet_ 24882",70
"tweet_ 24883",212
"tweet_ 24884",183
"tweet_ 24885",236
"tweet_ 24886",18
"tweet_ 24887",130
"tweet_ 24888",93
"tweet_ 24889",93
"tweet_ 24890",95
"tweet_ 24891",78
"tweet_ 24892",242
"tweet_ 24893",78
"tweet_ 24894",178
"tweet_ 24895",106
"tweet_ 24896",233
"tweet_ 24897",183
"tweet_ 24898",232
"tweet_ 24899",125
"tweet_ 24900",230
"tweet_ 24901",230
"tweet_ 24902",122
"tweet_ 24903",215
"tweet_ 24904",136
"tweet_ 24905",17
"tweet_ 24906",90
"tweet_ 24907",45
"tweet_ 24908",262
"tweet_ 24909",54
"tweet_ 24910",33
"tweet_ 24911",262
"tweet_ 24912",199
"tweet_ 24913",172
"tweet_ 24914",247
"tweet_ 24915",233
"tweet_ 24916",44
"tweet_ 24917",79
"tweet_ 24918",90
"tweet_ 24919",79
"tweet_ 24920",79
"tweet_ 24921",212
"tweet_ 24922",154
"tweet_ 24923",237
"tweet_ 24924",147
"tweet_ 24925",160
"tweet_ 24926",35
"tweet_ 24927",92
"tweet_ 24928",264
"tweet_ 24929",35
"tweet_ 24930",265
"tweet_ 24931",204
"tweet_ 24932",243
"tweet_ 24933",174
"tweet_ 24934",13
"tweet_ 24935",2
"tweet_ 24936",89
"tweet_ 24937",113
"tweet_ 24938",118
"tweet_ 24939",130
"tweet_ 24940",9
"tweet_ 24941",160
"tweet_ 24942",189
"tweet_ 24943",161
"tweet_ 24944",218
"tweet_ 24945",9
"tweet_ 24946",257
"tweet_ 24947",175
"tweet_ 24948",64
"tweet_ 24949",113
"tweet_ 24950",222
"tweet_ 24951",248
"tweet_ 24952",43
"tweet_ 24953",59
"tweet_ 24954",125
"tweet_ 24955",79
"tweet_ 24956",257
"tweet_ 24957",260
"tweet_ 24958",113
"tweet_ 24959",149
"tweet_ 24960",76
"tweet_ 24961",237
"tweet_ 24962",223
"tweet_ 24963",192
"tweet_ 24964",176
"tweet_ 24965",192
"tweet_ 24966",36
"tweet_ 24967",160
"tweet_ 24968",229
"tweet_ 24969",77
"tweet_ 24970",183
"tweet_ 24971",182
"tweet_ 24972",223
"tweet_ 24973",89
"tweet_ 24974",45
"tweet_ 24975",242
"tweet_ 24976",161
"tweet_ 24977",109
"tweet_ 24978",237
"tweet_ 24979",131
"tweet_ 24980",158
"tweet_ 24981",24
"tweet_ 24982",56
"tweet_ 24983",9
"tweet_ 24984",118
"tweet_ 24985",58
"tweet_ 24986",170
"tweet_ 24987",45
"tweet_ 24988",118
"tweet_ 24989",165
"tweet_ 24990",160
"tweet_ 24991",84
"tweet_ 24992",212
"tweet_ 24993",242
"tweet_ 24994",264
"tweet_ 24995",52
"tweet_ 24996",58
"tweet_ 24997",113
"tweet_ 24998",122
"tweet_ 24999",133
"tweet_ 25000",195
"tweet_ 25001",220
"tweet_ 25002",83
"tweet_ 25003",76
"tweet_ 25004",36
"tweet_ 25005",196
"tweet_ 25006",28
"tweet_ 25007",236
"tweet_ 25008",75
"tweet_ 25009",229
"tweet_ 25010",106
"tweet_ 25011",89
"tweet_ 25012",161
"tweet_ 25013",257
"tweet_ 25014",23
"tweet_ 25015",15
"tweet_ 25016",125
"tweet_ 25017",66
"tweet_ 25018",10
"tweet_ 25019",212
"tweet_ 25020",88
"tweet_ 25021",65
"tweet_ 25022",47
"tweet_ 25023",85
"tweet_ 25024",242
"tweet_ 25025",33
"tweet_ 25026",64
"tweet_ 25027",224
"tweet_ 25028",17
"tweet_ 25029",250
"tweet_ 25030",33
"tweet_ 25031",205
"tweet_ 25032",51
"tweet_ 25033",236
"tweet_ 25034",237
"tweet_ 25035",23
"tweet_ 25036",200
"tweet_ 25037",47
"tweet_ 25038",248
"tweet_ 25039",90
"tweet_ 25040",162
"tweet_ 25041",93
"tweet_ 25042",110
"tweet_ 25043",148
"tweet_ 25044",186
"tweet_ 25045",215
"tweet_ 25046",5
"tweet_ 25047",64
"tweet_ 25048",18
"tweet_ 25049",113
"tweet_ 25050",106
"tweet_ 25051",203
"tweet_ 25052",100
"tweet_ 25053",169
"tweet_ 25054",129
"tweet_ 25055",90
"tweet_ 25056",234
"tweet_ 25057",153
"tweet_ 25058",211
"tweet_ 25059",45
"tweet_ 25060",66
"tweet_ 25061",133
"tweet_ 25062",246
"tweet_ 25063",223
"tweet_ 25064",175
"tweet_ 25065",196
"tweet_ 25066",90
"tweet_ 25067",5
"tweet_ 25068",65
"tweet_ 25069",158
"tweet_ 25070",158
"tweet_ 25071",200
"tweet_ 25072",76
"tweet_ 25073",102
"tweet_ 25074",162
"tweet_ 25075",243
"tweet_ 25076",65
"tweet_ 25077",55
"tweet_ 25078",123
"tweet_ 25079",90
"tweet_ 25080",90
"tweet_ 25081",236
"tweet_ 25082",245
"tweet_ 25083",48
"tweet_ 25084",203
"tweet_ 25085",27
"tweet_ 25086",191
"tweet_ 25087",45
"tweet_ 25088",64
"tweet_ 25089",30
"tweet_ 25090",237
"tweet_ 25091",229
"tweet_ 25092",165
"tweet_ 25093",19
"tweet_ 25094",2
"tweet_ 25095",97
"tweet_ 25096",251
"tweet_ 25097",2
"tweet_ 25098",116
"tweet_ 25099",174
"tweet_ 25100",224
"tweet_ 25101",90
"tweet_ 25102",30
"tweet_ 25103",72
"tweet_ 25104",257
"tweet_ 25105",240
"tweet_ 25106",157
"tweet_ 25107",227
"tweet_ 25108",224
"tweet_ 25109",25
"tweet_ 25110",53
"tweet_ 25111",100
"tweet_ 25112",215
"tweet_ 25113",27
"tweet_ 25114",231
"tweet_ 25115",266
"tweet_ 25116",236
"tweet_ 25117",125
"tweet_ 25118",10
"tweet_ 25119",45
"tweet_ 25120",47
"tweet_ 25121",162
"tweet_ 25122",130
"tweet_ 25123",232
"tweet_ 25124",224
"tweet_ 25125",204
"tweet_ 25126",85
"tweet_ 25127",174
"tweet_ 25128",95
"tweet_ 25129",31
"tweet_ 25130",78
"tweet_ 25131",242
"tweet_ 25132",162
"tweet_ 25133",133
"tweet_ 25134",130
"tweet_ 25135",135
"tweet_ 25136",149
"tweet_ 25137",171
"tweet_ 25138",172
"tweet_ 25139",85
"tweet_ 25140",136
"tweet_ 25141",74
"tweet_ 25142",161
"tweet_ 25143",223
"tweet_ 25144",90
"tweet_ 25145",220
"tweet_ 25146",215
"tweet_ 25147",157
"tweet_ 25148",25
"tweet_ 25149",138
"tweet_ 25150",87
"tweet_ 25151",48
"tweet_ 25152",12
"tweet_ 25153",208
"tweet_ 25154",16
"tweet_ 25155",161
"tweet_ 25156",90
"tweet_ 25157",75
"tweet_ 25158",242
"tweet_ 25159",27
"tweet_ 25160",40
"tweet_ 25161",227
"tweet_ 25162",122
"tweet_ 25163",47
"tweet_ 25164",163
"tweet_ 25165",172
"tweet_ 25166",106
"tweet_ 25167",102
"tweet_ 25168",106
"tweet_ 25169",244
"tweet_ 25170",65
"tweet_ 25171",189
"tweet_ 25172",34
"tweet_ 25173",202
"tweet_ 25174",136
"tweet_ 25175",197
"tweet_ 25176",245
"tweet_ 25177",193
"tweet_ 25178",57
"tweet_ 25179",226
"tweet_ 25180",109
"tweet_ 25181",57
"tweet_ 25182",45
"tweet_ 25183",247
"tweet_ 25184",45
"tweet_ 25185",109
"tweet_ 25186",192
"tweet_ 25187",229
"tweet_ 25188",113
"tweet_ 25189",147
"tweet_ 25190",160
"tweet_ 25191",242
"tweet_ 25192",246
"tweet_ 25193",207
"tweet_ 25194",34
"tweet_ 25195",153
"tweet_ 25196",237
"tweet_ 25197",199
"tweet_ 25198",152
"tweet_ 25199",2
"tweet_ 25200",188
"tweet_ 25201",252
"tweet_ 25202",132
"tweet_ 25203",233
"tweet_ 25204",22
"tweet_ 25205",148
"tweet_ 25206",149
"tweet_ 25207",90
"tweet_ 25208",80
"tweet_ 25209",36
"tweet_ 25210",130
"tweet_ 25211",242
"tweet_ 25212",24
"tweet_ 25213",65
"tweet_ 25214",214
"tweet_ 25215",243
"tweet_ 25216",98
"tweet_ 25217",7
"tweet_ 25218",22
"tweet_ 25219",257
"tweet_ 25220",162
"tweet_ 25221",242
"tweet_ 25222",72
"tweet_ 25223",19
"tweet_ 25224",215
"tweet_ 25225",100
"tweet_ 25226",60
"tweet_ 25227",165
"tweet_ 25228",40
"tweet_ 25229",175
"tweet_ 25230",188
"tweet_ 25231",55
"tweet_ 25232",97
"tweet_ 25233",27
"tweet_ 25234",77
"tweet_ 25235",79
"tweet_ 25236",245
"tweet_ 25237",119
"tweet_ 25238",20
"tweet_ 25239",215
"tweet_ 25240",93
"tweet_ 25241",74
"tweet_ 25242",71
"tweet_ 25243",233
"tweet_ 25244",212
"tweet_ 25245",162
"tweet_ 25246",140
"tweet_ 25247",247
"tweet_ 25248",229
"tweet_ 25249",27
"tweet_ 25250",34
"tweet_ 25251",197
"tweet_ 25252",160
"tweet_ 25253",75
"tweet_ 25254",209
"tweet_ 25255",168
"tweet_ 25256",140
"tweet_ 25257",224
"tweet_ 25258",262
"tweet_ 25259",95
"tweet_ 25260",233
"tweet_ 25261",129
"tweet_ 25262",75
"tweet_ 25263",195
"tweet_ 25264",163
"tweet_ 25265",224
"tweet_ 25266",27
"tweet_ 25267",165
"tweet_ 25268",133
"tweet_ 25269",241
"tweet_ 25270",199
"tweet_ 25271",218
"tweet_ 25272",97
"tweet_ 25273",224
"tweet_ 25274",87
"tweet_ 25275",109
"tweet_ 25276",154
"tweet_ 25277",162
"tweet_ 25278",170
"tweet_ 25279",232
"tweet_ 25280",85
"tweet_ 25281",114
"tweet_ 25282",176
"tweet_ 25283",215
"tweet_ 25284",35
"tweet_ 25285",232
"tweet_ 25286",227
"tweet_ 25287",252
"tweet_ 25288",71
"tweet_ 25289",171
"tweet_ 25290",242
"tweet_ 25291",138
"tweet_ 25292",264
"tweet_ 25293",252
"tweet_ 25294",18
"tweet_ 25295",47
"tweet_ 25296",4
"tweet_ 25297",156
"tweet_ 25298",237
"tweet_ 25299",178
"tweet_ 25300",52
"tweet_ 25301",116
"tweet_ 25302",180
"tweet_ 25303",233
"tweet_ 25304",133
"tweet_ 25305",176
"tweet_ 25306",237
"tweet_ 25307",182
"tweet_ 25308",242
"tweet_ 25309",57
"tweet_ 25310",152
"tweet_ 25311",148
"tweet_ 25312",224
"tweet_ 25313",91
"tweet_ 25314",147
"tweet_ 25315",183
"tweet_ 25316",165
"tweet_ 25317",145
"tweet_ 25318",263
"tweet_ 25319",227
"tweet_ 25320",196
"tweet_ 25321",140
"tweet_ 25322",208
"tweet_ 25323",200
"tweet_ 25324",77
"tweet_ 25325",56
"tweet_ 25326",95
"tweet_ 25327",58
"tweet_ 25328",233
"tweet_ 25329",110
"tweet_ 25330",208
"tweet_ 25331",94
